topic,date,avg_sentiment,avg_popularity,sample_size
Artificial Intelligence,2025-11-05,0.6231511111111111,105.02222222222223,90
Artificial Intelligence,2025-11-06,0.6294340909090909,88.39772727272727,88
Artificial Intelligence,2025-11-07,0.6048203296703296,88.75824175824175,91
Artificial Intelligence,2025-11-08,0.5989942105263157,101.46315789473684,95
Artificial Intelligence,2025-11-09,0.5779586734693878,99.8265306122449,98
Artificial Intelligence,2025-11-10,0.6031554347826087,96.3913043478261,92
Artificial Intelligence,2025-11-11,0.6215922222222222,101.67777777777778,90
Artificial Intelligence,2025-11-12,0.5946116504854368,91.33980582524272,103
Artificial Intelligence,2025-11-13,0.5756149425287356,94.14942528735632,87
Artificial Intelligence,2025-11-14,0.6122421875,99.45833333333333,96
Artificial Intelligence,2025-11-15,0.6129355670103093,96.42268041237114,97
Artificial Intelligence,2025-11-17,0.5886443396226415,106.91509433962264,106
